id,country_id,name,lat,lng
1,1,Valencia,39.47010514497293,-0.3766213363909406
2,2,Lisboa,38.722252,-9.139337
3,3,Roma,41.9027835,12.4963655
4,4,Berlín,52.5200066,13.404954
5,5,Atenas,37.9838096,23.7275388
6,6,Ámsterdam,52.3675734,4.9041389
